Fee_id,client_id,item_type,amount,fee_date,paid_on_date
1,13,book,5.00,2024-11-08,2024-11-10
2,6,book,10.00,2024-10-17,2024-10-22
3,39,book,9.00,2024-09-02,2024-09-08
4,9,book,10.00,2024-12-07,2024-12-13
5,6,book,10.00,2024-11-19,2024-12-01
6,10,book,9.00,2024-08-24,2024-08-28
7,12,book,5.00,2024-08-09,2024-08-24
8,24,book,5.00,2024-12-01,2024-12-02
9,37,book,9.00,2024-07-30,2024-08-15
10,40,book,10.00,2024-10-12,2024-11-23
11,44,book,5.00,2024-08-13,2024-09-11
12,49,book,5.00,2024-11-20,2024-11-24
13,8,magazine,9.00,2024-08-23,2024-08-28
14,9,magazine,10.00,2024-10-24,2024-11-01
15,47,magazine,5.00,2024-09-06,2024-09-11
16,48,magazine,10.00,2024-09-23,2024-09-30
